iter	Passed	Remaining
749	3112	1037
750	3115	1032
751	3119	1028
752	3121	1024
753	3127	1020
754	3131	1016
755	3135	1011
756	3139	1007
757	3143	1003
758	3149	999
759	3151	995
760	3157	991
761	3162	987
762	3168	984
763	3172	980
764	3178	976
765	3183	972
766	3186	967
767	3191	964
768	3197	960
769	3204	957
770	3208	952
771	3211	948
772	3215	944
773	3218	939
774	3222	935
775	3226	931
776	3229	926
777	3233	922
778	3237	918
779	3241	914
780	3245	910
781	3250	906
782	3257	902
783	3261	898
784	3264	894
785	3269	890
786	3271	885
787	3275	881
788	3279	877
789	3283	872
790	3288	868
791	3294	865
792	3302	861
793	3310	858
794	3314	854
795	3324	851
796	3327	847
797	3333	843
798	3338	839
799	3342	835
800	3348	831
801	3352	827
802	3358	823
803	3362	819
804	3366	815
805	3369	810
806	3374	806
807	3381	803
808	3386	799
809	3390	795
810	3394	791
811	3399	786
812	3403	782
813	3408	778
814	3410	774
815	3415	770
816	3419	765
817	3424	761
818	3428	757
819	3432	753
820	3436	749
821	3439	744
822	3444	740
823	3450	737
824	3454	732
825	3459	728
826	3465	724
827	3469	720
828	3474	716
829	3478	712
830	3483	708
831	3487	704
832	3493	700
833	3497	696
834	3500	691
835	3505	687
836	3510	683
837	3515	679
838	3520	675
839	3525	671
840	3530	667
841	3534	663
842	3538	659
843	3541	654
844	3544	650
845	3549	646
846	3559	643
847	3563	638
848	3574	635
849	3581	631
850	3593	629
851	3607	626
852	3612	622
853	3619	618
854	3624	614
855	3630	610
856	3641	607
857	3648	603
858	3652	599
859	3661	596
860	3667	592
861	3669	587
862	3677	583
863	3679	579
864	3684	575
865	3697	572
866	3702	567
867	3712	564
868	3722	561
869	3729	557
870	3733	553
871	3740	549
872	3745	544
873	3750	540
874	3755	536
875	3762	532
876	3765	528
877	3769	523
878	3772	519
879	3782	515
880	3788	511
881	3812	510
882	3817	505
883	3826	502
884	3829	497
885	3838	493
886	3845	489
887	3850	485
888	3859	481
889	3870	478
890	3873	473
891	3877	469
892	3885	465
893	3889	461
894	3903	457
895	3906	453
896	3941	452
897	3958	449
898	3976	446
899	4011	445
900	4037	443
901	4050	440
902	4068	437
903	4072	432
904	4081	428
905	4085	423
